127.0.0.1 - - [30/Aug/2022:19:51:42 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [30/Aug/2022:19:51:43 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 11314
0:0:0:0:0:0:0:1 - - [30/Aug/2022:19:51:43 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:13 +0900] "GET /Board/BoardInfo.jsp?num=25 HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:17 +0900] "GET /Board/BoardList.jsp?num=25 HTTP/1.1" 200 11911
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:18 +0900] "GET /Board/BoardList.jsp?pageNum=2 HTTP/1.1" 200 3822
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:20 +0900] "GET /Board/BoardList.jsp?pageNum=1 HTTP/1.1" 200 11911
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:25 +0900] "GET /Board/BoardInfo.jsp?num=19 HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:26 +0900] "GET /Board/BoardReWriteForm.jsp?num=19&ref=9&re_step=3&re_level=1 HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:53 +0900] "POST /Board/BoardReWriteProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:42:53 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 12127
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:43:14 +0900] "GET /Board/BoardList.jsp?pageNum=2 HTTP/1.1" 200 4787
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:43:15 +0900] "GET /Board/BoardList.jsp?pageNum=1 HTTP/1.1" 200 12127
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:43:17 +0900] "GET /Board/BoardInfo.jsp?num=24 HTTP/1.1" 200 2426
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:43:18 +0900] "GET /Board/BoardList.jsp?num=24 HTTP/1.1" 200 12127
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:44:15 +0900] "GET /Board/BoardWriteForm.jsp HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:44:46 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 12127
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:44:46 +0900] "POST /Board/BoardWriteProc.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:44:46 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 11907
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:45:05 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 11935
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:45:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:45:08 +0900] "GET /Board/BoardList.jsp?pageNum=2 HTTP/1.1" 200 5995
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:45:09 +0900] "GET /Board/BoardList.jsp?pageNum=1 HTTP/1.1" 200 11935
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:45:13 +0900] "GET /Board/BoardList.jsp?pageNum=2 HTTP/1.1" 200 5995
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:45:15 +0900] "GET /Board/BoardList.jsp?pageNum=1 HTTP/1.1" 200 11935
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:47:58 +0900] "GET /Board/BoardList.jsp?pageNum=1 HTTP/1.1" 200 11610
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:47:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:48:07 +0900] "GET /Board/BoardList.jsp?pageNum=1 HTTP/1.1" 200 11750
0:0:0:0:0:0:0:1 - - [30/Aug/2022:20:48:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:14:17 +0900] "GET /Board/BoardInfo.jsp?num=25 HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:10 +0900] "GET /Board/BoardList.jsp?num=25 HTTP/1.1" 200 13271
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:12 +0900] "GET /Board/BoardInfo.jsp?num=21 HTTP/1.1" 200 2393
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:13 +0900] "GET /Board/BoardDeleteForm.jsp?num=21 HTTP/1.1" 200 1720
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:17 +0900] "POST /Board/BoardDeleteProc.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:21 +0900] "POST /Board/BoardDeleteProc.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:26 +0900] "POST /Board/BoardDeleteProc.jsp HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:19:28 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 13271
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:20:12 +0900] "GET /Board/BoardInfo.jsp?num=25 HTTP/1.1" 200 2420
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:20:13 +0900] "GET /Board/BoardUpdateForm.jsp?num=25 HTTP/1.1" 200 1804
0:0:0:0:0:0:0:1 - - [30/Aug/2022:21:25:34 +0900] "GET /Board/BoardList.jsp HTTP/1.1" 200 13271
